LgEval Error Summary for: Results_result/result.diff
Tue Dec  6 02:39:58 2022

NOTE: This file contains 3 confusion matrices.

I. Node Label Confusion Matrix: 143 unique labels. ABSENT: a node missing in the output or target graph
Output:,'!','(',')','+','-','.','/','0','1','2','3','4','5','6','7','8','9','<','=','>','A','ABSENT','B','B_','C','COMMA','C_','Delta','E','E_','F','F_','G','H','H_','I','I_','L','L_','M','N','N_','P','P_','R','R_','S','T','T_','V','V_','X','X_','Y','[','\Delta','\alpha','\beta','\cos','\div','\exists','\forall','\gamma','\geq','\gt','\in','\infty','\int','\lambda','\ldots','\leq','\lim','\log','\lt','\mu','\neq','\phi','\pi','\pm','\prime','\rightarrow','\sigma','\sin','\sqrt','\sum','\tan','\theta','\times','\{','\}',']','a','b','beta','c','cos','d','div_op','dot','e','exists','f','g','gt','h','i','in','infty','int','j','k','l','leq','lim','lt','m','mu','n','neq','o','p','pipe','prime','q','r','rightarrow','s','sigma','sin','sqrt','t','tan','theta','times','u','v','w','x','y','z','{','|','}'
'9',,3,2,34,86,,,18,45,73,15,20,13,3,19,1,,,131,,4,,,,1,11,,,7,,15,,,1,,8,,1,,,8,,1,,3,,,5,,,,,,,,,,,,10,,,,,,,10,,,,1,1,,2,,,,13,6,3,4,,,7,5,2,3,1,,,,20,4,,10,,5,,,4,,4,2,,,6,,,,3,1,,,,,3,,10,,2,3,,,1,2,,,,,,2,,,,,,,57,1,9,,2,
'<',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'=',,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
'>',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'A',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'ABSENT',1,105,191,282,196,3,4,55,230,190,85,71,49,29,33,26,29,,146,,32,,21,,5,7,,,19,,14,,5,16,,5,,3,,4,3,,5,,14,,6,7,,4,,4,,8,12,4,18,19,24,3,1,2,4,4,,,8,40,2,,6,39,13,3,2,10,8,38,17,4,13,2,61,63,46,26,44,7,5,7,11,84,57,,19,,38,,,12,,50,10,,11,28,,,,14,35,4,,,,7,,45,,2,32,,,12,12,,13,,,,43,,,,8,5,6,172,71,60,,23,
'B',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'B_',,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
'C',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'COMMA',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'C_',4,16,32,103,69,23,,10,82,97,21,36,28,11,8,2,10,2,96,,1,,1,,2,14,,,2,,,,,2,,3,,3,,,3,,2,,1,,3,1,,,,22,,5,,,5,1,3,17,,,,3,,,5,1,1,75,11,16,3,1,,4,1,11,4,,5,1,41,4,8,4,4,30,,,1,18,11,,12,,6,,,5,,3,3,,4,55,,,,29,11,1,,,,4,,16,,1,10,,,2,5,,1,,,,10,,,,2,2,2,140,10,34,,1,
'Delta',,6,2,4,2,,,3,,8,4,,1,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,2,,1,,,,2,6,1,,1,,,2,,,,,1,,,,,,1,,6,,2,,2,1,,,,1,,,2,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,22,,,,,
'E',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'E_',,17,2,18,,1,1,2,10,16,1,5,,,,4,,,,,,,1,,1,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,4,,,,6,,,,,,,,,,,,,1,4,,,,,1,1,,,,2,,2,1,,,,,,4,4,,2,,4,,,1,,2,,,1,,,,,,1,,,,,,,1,,,3,,,,,,,,,,7,,,,12,,1,4,3,2,,,
'F',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'F_',,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
