LgEval Error Summary for: Results_result/result.diff
Tue Dec  6 02:39:58 2022

NOTE: This file contains 3 confusion matrices.

I. Node Label Confusion Matrix: 143 unique labels. ABSENT: a node missing in the output or target graph
Output:,'!','(',')','+','-','.','/','0','1','2','3','4','5','6','7','8','9','<','=','>','A','ABSENT','B','B_','C','COMMA','C_','Delta','E','E_','F','F_','G','H','H_','I','I_','L','L_','M','N','N_','P','P_','R','R_','S','T','T_','V','V_','X','X_','Y','[','\Delta','\alpha','\beta','\cos','\div','\exists','\forall','\gamma','\geq','\gt','\in','\infty','\int','\lambda','\ldots','\leq','\lim','\log','\lt','\mu','\neq','\phi','\pi','\pm','\prime','\rightarrow','\sigma','\sin','\sqrt','\sum','\tan','\theta','\times','\{','\}',']','a','b','beta','c','cos','d','div_op','dot','e','exists','f','g','gt','h','i','in','infty','int','j','k','l','leq','lim','lt','m','mu','n','neq','o','p','pipe','prime','q','r','rightarrow','s','sigma','sin','sqrt','t','tan','theta','times','u','v','w','x','y','z','{','|','}'
'\lim',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'\log',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'\lt',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'\mu',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'\neq',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'\phi',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'\pi',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'\pm',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'\prime',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'\rightarrow',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'\sigma',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'\sin',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'\sqrt',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'\sum',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'\tan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'\theta',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'\times',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'\{',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'\}',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
']',,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
'a',,1,,2,4,,,,1,3,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,2,1,,,
'b',,,29,3,2,1,,,9,3,6,3,2,,5,,1,,10,,1,,,,1,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,2,,,,,,,,,,1,,,1,,,,,,,1,1,,4,,,,,,,,,,,,,,,,,,,3,1,,,,,,,1,,,2,,,,,,,,,,2,,,,,,,70,3,1,,,
'beta',,3,5,6,6,,,3,3,7,1,1,5,,,1,1,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,2,,,,,,,6,3,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,2,16,2,,,
'c',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'cos',,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
'd',,,,2,6,1,,1,3,2,46,1,2,,1,,1,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,,2,,,,,,,,,,,,,,1,,2,,,,,,,2,,,,,,,,,,1,,,,1,,,,,,,,,,,,4,,,1,,,,,,1,,,,1,,,,,,,15,1,,,,
'div_op',,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
'dot',,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'e',,14,10,107,105,,,20,52,47,24,29,20,10,4,5,1,,76,,,,,,1,2,,,4,,5,,1,1,,,,,,,1,,4,,,,1,2,,,,1,,,,1,5,,3,2,,,1,,,,1,,,,3,11,1,,,,,6,7,,5,3,5,145,1,,2,3,,,2,21,4,,4,,5,,,,,2,1,,,4,,,,6,10,,,,,4,,36,,1,7,,,4,3,,1,,,,4,,,,,1,1,29,9,2,,,
'exists',,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'f',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'g',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'gt',6,94,114,229,35,5,4,27,103,61,27,23,11,11,26,23,12,1,54,,9,,2,,4,12,,,2,,3,,,8,,2,,2,,4,3,,5,,,,1,8,,2,,14,,7,19,,1,3,12,3,,,1,10,4,2,1,10,3,,2,2,1,1,,8,,35,,,1,,41,12,,6,6,46,1,,14,31,13,,9,,17,,,3,,6,2,,2,14,,,,6,1,,,,,6,,77,,1,9,,,7,19,,7,,,,10,,,,3,8,3,138,37,6,,10,
'h',,6,2,28,5,2,,4,6,22,3,1,,5,1,1,,3,15,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,1,50,,,,,,,,6,,,,,,,,,1,,1,1,,5,2,3,4,2,3,4,7,,,,7,2,,4,,1,,,3,,,2,,,,,,,,2,,,,,1,,4,,,,,,,1,,,,,,1,,,,2,3,,13,3,5,,,
'i',12,1,,2,6,,,,7,,,,1,,,1,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,
'in',,1,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
'infty',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'int',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
'j',,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
'k',,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'l',,6,2,7,7,,,2,2,13,2,1,2,1,2,2,,,,,,,1,,1,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,31,,,,,,,,1,,2,,,,4,,,,,3,1,,,,6,,,,,2,2,,2,,,,,1,3,,,,,,,2,,,2,,,1,,,,,,,1,,,,,,,14,16,1,,3,
'leq',,,,,3,,,1,1,7,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,1,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,
'lim',,25,5,9,2,,,1,3,7,,7,2,1,,2,1,,4,,2,,,,,,,,,,2,,,,,,,1,,,,,,,1,,1,,,,,,,,2,,2,,4,,,,,,,,,3,,,,3,,,,,1,,,,2,,,3,,13,1,,,,,17,13,,2,,18,,,2,,1,1,,2,1,,,,,4,,,,,3,,5,,,,,,1,1,,,,,,,,,,2,1,2,48,5,8,,,
'lt',,47,,6,2,,,2,7,1,1,17,,1,,,,,,,,,,,3,,,,,,,,,,,2,,1,,,,,,,,,2,,,,,1,,2,1,,,,2,,,,,,,1,,,,,1,,,,,,,4,,,,,1,,,7,,1,,,,3,,,8,,,,,,,3,,,,4,,,,,,1,,,,,,,,,,,,1,,,,,,,11,,,,,,,8,,,,,
'm',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'mu',,4,1,4,3,,,,2,7,1,1,3,,25,1,2,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,3,,2,,,,,2,,,2,,,,,1,2,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,2,1,,,,,,1,,,,1,,,6,1,1,,1,
'n',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'neq',,5,6,5,,,,2,6,8,3,2,1,2,,,1,,4,,,,2,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,2,4,,,,,,,,,,1,,,,,,,,,,,,,,1,3,2,1,2,,,,,11,,,4,,3,,,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,10,,9,,,
'o',,2,3,4,,,,1,6,1,1,3,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,2,,,,1,3,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,1,2,,,,,
'p',,18,14,52,31,,,,32,10,4,,2,,2,,1,1,36,,,,,,,3,,,,,1,,,3,,,,,,,,,,,,,,,,,,3,,,1,,1,,1,1,,,,,1,,1,,,20,1,,,,,,,1,,,7,,2,,,,2,4,1,1,,5,,,2,,2,,,,,,,,1,,,,,,2,2,,,,3,,8,,,,,,,3,,,,,,4,,,,,1,,39,2,2,,5,
'pipe',,,,,2,,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,8,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
'prime',,4,7,6,3,1,1,1,3,5,1,2,1,,,,2,,1,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,4,,,,,1,,,1,,,,,,,,,,4,,,,,,,,,,5,,,,,1,,,2,,,,,1,2,1,,,,1,,,,,1,,,,1,,,,1,3,,,,,,,3,,,1,,,,,,1,,,,,,,,,6,1,3,4,1,,1,
'q',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'r',,1,1,1,1,,,,1,2,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
'rightarrow',,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
's',,,1,,,2,4,,3,1,1,,,,,,1,1,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3,,,,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,
'sigma',,3,2,137,204,1,,,30,8,,4,24,,15,1,,,159,,12,,,,,,,,4,,7,,1,1,,4,,,,,,,,,,,,1,,,,,,,4,,1,,3,5,1,2,,,,1,,,,,6,,,,,2,,12,6,,4,,2,5,1,9,8,,,,,2,1,,1,,1,,,2,,11,,,,3,,,,1,,,,,,,,1,,,,,,,,,,,,,17,,,,,,,4,,12,,1,
'sin',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
'sqrt',,4,5,7,1,,,,5,3,,4,1,,,,,,17,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,,,1,3,,,,2,,1,1,2,,,,,2,,,,,1,1,,,,,,,,,1,,,,,,4,,,3,,,3,3,,,,,,,,,,,,,3,10,1,,1,
't',,55,18,80,118,9,1,22,152,45,13,20,9,4,7,4,5,1,121,,14,,1,,1,4,,,1,,4,,,5,,2,,2,,,1,,,,,,,1,,,,8,,1,2,,,3,4,5,1,,1,3,,,4,4,,2,4,1,3,,,,1,15,9,,,,8,,,16,7,11,,1,4,5,12,,7,,4,,,8,,17,1,,2,14,,,,4,2,2,,,,,,5,,2,9,,,8,1,,,,,,,,,,,,,36,11,11,,4,
'tan',,,,2,1,,,1,1,4,1,27,,1,,,,,,,,,,,,,,,4,,,,,,,,,6,,,,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,
'theta',,5,2,7,40,,,1,7,23,8,2,5,2,1,4,5,,,,,,1,,,2,,,2,,1,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,43,,1,,,,15,2,,,1,,,2,5,1,,2,,1,,,,,,,,1,4,,,,,6,,,,,1,,2,,,1,,,1,,,,,,,,,,,,1,1,4,,1,,,
'times',,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'u',,,,3,,,8,,,,,1,,,,,,,,,4,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,11,,3,,,,,,,,,,,,,,,,,,,,,,1,,2,,2,,,1,,,,,6,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,38,3,,,,
'v',,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'w',,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,
'x',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
'y',,16,1,33,3,1,,2,16,22,4,33,3,3,3,1,,,2,,,,,,2,,,,,,,,,1,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,7,,,,6,,,,,,,,,,5,,3,,2,,,4,,3,,,1,1,,,,5,2,2,,,,,,3,,,6,,,,1,,,,,,13,,,,,1,,14,,1,,,
'z',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'{',,,,1,1,,,,1,1,,,,,,1,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,
'|',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'}',,4,19,3,,,1,1,5,13,2,7,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,6,,1,,,,,,2,2,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,


II. Edge Label Confusion Matrix (Short): 7 unique relationship labels + * (merge)
Output:,'*','Above','Below','Inside','Right','Sub','Sup','_'
'*',3532,112,253,105,4164,416,389,11463
'Above',,,,,,,,
'Below',,,,,,,,
'Inside',,,,,,,,
'Right',,,,,,,,
'Sub',,,,,,,,
'Sup',,,,,,,,
'_',6832,567,582,424,12004,1123,1056,


III. Edge Label Confusion Matrix (Full): 133 unique labels for relationships and node groupings for specific symbol types
Output:,'!','(',')','+','-','0','1','2','3','4','5','6','7','8','9','<','=','A','Above','B','B_','Below','C_','Delta','E','E_','F','F_','G','H','H_','I','I_','Inside','L_','M','N','N_','P','P_','R','R_','Right','Sub','Sup','T','T_','V_','X','X_','Y','[','\beta','\cos','\div','\exists','\forall','\gamma','\geq','\gt','\in','\infty','\lambda','\ldots','\leq','\lim','\log','\mu','\neq','\phi','\pi','\pm','\rightarrow','\sigma','\sin','\sqrt','\sum','\tan','\theta','\times','\{','\}',']','_','a','b','beta','c','cos','d','div_op','dot','e','exists','f','g','gt','h','i','in','j','k','l','leq','lim','lt','m','mu','n','neq','o','p','pipe','prime','q','r','rightarrow','s','sigma','sin','sqrt','t','tan','theta','times','u','v','w','x','y','z','{','}'
'!',,,,10,,,,,,2,,,,,,,2,,,,,12,,,,,,,,,,,,,,2,,,,,,,57,25,19,,,,,,,,,2,2,,,,,,,,,,,18,,,,,,,6,,78,,,6,,2,,,,313,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
'(',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
')',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'+',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'-',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
'0',,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
