File,Result,D_B,D_C,D_L,D_R,D_S,D_E(%),nNodes,nEdges,nSegRelEdges,dPairs,segPairErrors,nodeCorrect,edgeDiffClassCount,undirDiffClassCount,nSeg,detectedSeg,dSegRelEdges,CorrectSegments,CorrectSegmentsAndClass,ClassError,CorrectSegRels,CorrectSegRelLocations,SegRelErrors,hasCorrectSegments,hasCorrectSegLab,hasCorrectRelationLocations,hasCorrectRelLab,hasCorrectStructure
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_101_em_8.lg, Incorrect,39,10,29,13,16,0.6630944111844436,10,90,5,20,8,0,2,1,6,5,0,0,0,6,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_101_em_9.lg, Incorrect,52,12,40,18,22,0.6016601382393872,13,156,6,28,11,0,2,1,7,5,0,0,0,7,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_25.lg, Incorrect,42,12,30,10,20,0.621993588901186,12,132,8,20,10,0,0,0,9,5,0,0,0,9,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_26.lg, Incorrect,93,23,70,34,36,0.4827066028127174,26,650,17,50,18,0,4,2,18,10,0,1,0,18,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_27.lg, Incorrect,25,9,16,6,10,0.6146941723469989,9,72,8,11,5,0,0,0,9,3,0,0,0,9,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_28.lg, Incorrect,27,8,19,9,10,0.6683531666249919,8,56,3,14,5,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_29.lg, Incorrect,18,5,13,5,8,0.8128937689545103,5,20,2,9,4,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_30.lg, Incorrect,12,5,7,3,4,0.6796071912699732,5,20,3,5,2,0,0,0,4,2,0,1,0,4,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_31.lg, Incorrect,32,8,24,14,10,0.6924102660240784,8,56,3,16,5,0,6,3,4,3,0,1,0,4,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_32.lg, Incorrect,20,8,12,6,6,0.5967456284134215,8,56,6,9,3,0,0,0,7,5,0,1,0,7,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_33.lg, Incorrect,32,8,24,14,10,0.6924102660240784,8,56,3,15,5,0,8,4,4,2,0,0,0,4,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_34.lg, Incorrect,100,25,75,27,48,0.5454653676892977,25,600,18,47,24,0,8,4,19,7,0,0,0,19,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_35.lg, Incorrect,10,4,6,2,4,0.7614856834587244,4,12,2,4,2,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0
